# Delays	Number of gates	Number of optimal gates	Difference
14.2034596376	177	153	24
10.9598214286	33	32	1
15.9	16	14	2
14.1115879828	41	38	3
13.5709459459	44	40	4
11.9482922201	256	219	37
11.451754386	30	25	5
13.4896551724	82	75	7
10.7665847666	52	45	7
12.8709677419	35	31	4
13.9012096774	69	59	10
10.4945652174	30	26	4
9.92	38	35	3
16.5169491525	20	19	1
8.33333333333	70	61	9
15.0127118644	28	24	4
15.6530612245	22	18	4
11.3063178047	186	156	30
9.85714285714	16	16	0
17.4274193548	20	17	3
16.9762532982	59	48	11
13.7795100223	69	59	10
10.7555555556	76	64	12
14.2485089463	132	111	21
15.5081433225	50	50	0
10.2118644068	34	28	6
9.0	22	19	3
11.1337579618	45	37	8
6.88461538462	25	20	5
7.24503311258	24	20	4
14.170212766	138	121	17
14.4827586207	21	17	4
8.98837209302	62	57	5
14.2416107383	23	18	5
18.351758794	35	31	4
7.44594594595	32	31	1
29.0737179487	146	119	27
14.0054945055	34	31	3
14.1072026801	81	69	12
9.90285714286	96	82	14
13.4530744337	49	41	8
14.1804281346	48	43	5
14.4467640919	59	54	5
8.0	32	28	4
11.6962365591	59	50	9
13.7787610619	18	17	1
16.5670995671	43	35	8
12.6454849498	46	42	4
24.8139534884	19	17	2
11.3665283541	114	89	25
12.9185667752	86	77	9
19.3571428571	58	47	11
15.5130434783	20	18	2
13.6	26	23	3
16.2985074627	148	133	15
6.8322147651	25	25	0
20.8253968254	32	30	2
16.5511363636	32	27	5
10.4575289575	200	174	26
10.7888198758	26	23	3
9.60714285714	75	64	11
9.184	40	34	6
24.5185185185	31	27	4
8.36904761905	64	57	7
11.384	20	17	3
13.3272727273	27	25	2
23.0026595745	59	49	10
15.4017857143	62	56	6
9.84516129032	26	22	4
8.82684670373	166	139	27
14.0310880829	57	48	9
16.7213114754	62	57	5
74.5273972603	79	70	9
15.9488817891	50	47	3
11.2675675676	101	83	18
26.3991416309	52	51	1
13.904494382	30	24	6
13.9454545455	18	14	4
15.4134615385	19	15	4
7.15178571429	20	18	2
10.3956639566	49	42	7
10.5721649485	29	24	5
9.66321243523	27	24	3
11.21	18	17	1
13.6124444444	131	112	19
10.6	23	20	3
7.60847457627	75	64	11
8.80208333333	28	23	5
12.9247311828	46	41	5
9.60311284047	38	30	8
13.4795682344	176	154	22
10.0988372093	26	23	3
9.08159722222	81	72	9
10.0251798561	95	80	15
7.75535168196	48	43	5
9.30660377358	60	52	8
12.8979166667	57	52	5
12.9202226345	69	60	9
7.30084745763	29	25	4
8.37096774194	65	56	9
11.5419847328	21	19	2
7.57239057239	47	42	5
7.84225352113	57	52	5
18.4087591241	20	19	1
10.568627451	119	98	21
9.10953058321	89	76	13
19.9958071279	58	51	7
10.776119403	23	20	3
15.8691588785	16	15	1
22.0872483221	25	20	5
11.3215898826	161	137	24
11.71875	30	25	5
14.3103448276	37	33	4
10.8898678414	39	34	5
8.66685746995	225	198	27
9.51530612245	27	25	2
13.814889336	81	73	8
8.17034700315	42	37	5
7.21198156682	33	31	2
7.82735426009	57	51	6
7.3850931677	26	23	3
9.76958525346	36	32	4
12.4297520661	51	45	6
21.1235059761	67	57	10
7.171875	26	22	4
11.7716535433	22	18	4
10.499669967	176	150	26
11.2592592593	19	16	3
10.9466019417	61	51	10
11.1662125341	62	57	5
