# Percentage of extra gates	Number of reassignment	Number of overflow gates
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	108	22
1	83	14
2	70	11
3	58	9
4	48	8
5	44	8
6	34	8
7	31	7
8	28	4
9	23	4
10	19	3
11	18	2
12	17	2
13	15	1
14	12	1
15	9	1
16	9	1
17	8	1
18	7	1
19	5	1
20	5	1
21	5	1
22	5	1
23	5	1
24	5	1
25	5	0
26	5	1
27	5	1
28	5	1
29	5	0
30	5	0
31	4	0
32	4	0
33	4	0
34	4	0
35	4	0
36	4	0
37	4	0
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
51	4	0
52	4	0
53	4	0
54	4	0
55	4	0
56	4	0
57	4	0
58	4	0
59	4	0
60	4	0
61	4	0
62	4	0
63	4	0
64	4	0
65	4	0
66	4	0
67	4	0
68	4	0
69	4	0
70	4	0
71	4	0
72	4	0
73	4	0
74	4	0
75	4	0
76	4	0
77	4	0
78	4	0
79	4	0
80	4	0
81	4	0
82	4	0
83	4	0
84	3	0
85	3	0
86	3	0
87	3	0
88	2	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	12	2
1	8	1
2	7	0
3	5	0
4	4	1
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
24	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	0
33	2	0
34	2	0
35	2	0
36	2	0
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
58	2	0
59	2	0
60	2	0
61	2	0
62	2	0
63	2	0
64	2	0
65	2	0
66	2	0
67	2	0
68	2	0
69	2	0
70	2	0
71	2	0
72	2	0
73	2	0
74	2	0
75	2	0
76	2	0
77	2	0
78	2	0
79	2	0
80	2	0
81	2	0
82	2	0
83	2	0
84	2	0
85	2	0
86	2	0
87	2	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	73	13
1	63	10
2	55	10
3	47	7
4	43	5
5	37	6
6	28	4
7	22	3
8	20	4
9	17	4
10	14	3
11	13	3
12	12	3
13	12	2
14	11	2
15	10	3
16	8	1
17	8	1
18	7	1
19	7	1
20	7	1
21	7	0
22	7	1
23	7	0
24	7	0
25	7	1
26	6	0
27	6	0
28	6	0
29	4	0
30	4	0
31	4	0
32	4	0
33	4	0
34	4	0
35	3	0
36	3	0
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	9	2
1	6	2
2	5	1
3	5	1
4	3	1
5	3	1
6	3	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	53	9
1	44	7
2	33	6
3	28	4
4	27	6
5	22	6
6	16	2
7	15	3
8	11	2
9	9	2
10	9	2
11	8	0
12	6	1
13	6	1
14	5	1
15	5	1
16	4	0
17	4	0
18	4	0
19	3	0
20	2	0
21	3	0
22	2	0
23	2	0
24	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	0
33	2	0
34	2	0
35	2	0
36	2	0
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
58	2	0
